Item,Price,Link
Ninja creami containers,$29.99,https://a.co/d/06PHUHD4
Individual honeymoon excursion,,
Birch dish set,$67,https://www.birchlane.com/kitchen-tabletop/pdp/birch-lane-nebula-plates-and-bowls-sets-12-piece-dinnerware-sets-fmiw1247.html
Large Away suitcase,$300,https://www.awaytravel.com/products/large-coast-blue
Centerpiece bowl,$118,https://pin.it/5agNLL06q
Cute little water pitcher,$29.95,https://a.co/d/0hortUl1
Brumate cooler,$399,https://www.brumate.com/products/brutank-55-quart-rolling-cooler-denim
Yeti cooler,$220,https://www.yeti.com/coolers/soft-coolers/hopper-12.html
Yeti smaller cooler,$200,https://www.yeti.com/coolers/soft-coolers/hopper-flip/hopper-flip-8.html
Robot vacuum and mop combo,$349.99,https://www.target.com/p/shark-matrix-plus-2in1-robot-vacuum-38-mop-with-sonic-mopping-matrix-clean-hepa-bagless-self-empty-rv2610wa/-/A-86794821
Wine rack,$25.99,https://a.co/d/01NQRYwl
Costco Robot Vacuum,$549,https://www.costco.com/.product.4000409575.html
Shun chef knife,$209,https://shun.kaiusa.com/premier-asian-cook-s-7.html
Le Creuset casserole dish (Cream),$139,https://www.crateandbarrel.com/le-creuset-heritage-4-qt.-cream-rectangular-casserole-dish-with-lid/s665006
Le Creuset round dutch oven 6.5 qt (Thyme),$289,https://www.crateandbarrel.com/le-creuset-signature-6.5-qt.-thyme-enameled-cast-iron-deep-round-dutch-oven/s610858
Le Creuset round dutch oven 7.25 qt,,https://www.crateandbarrel.com/le-creuset-signature-7.25-qt.-cream-enameled-cast-iron-dutch-oven/s648134
Cast iron skillet 14in,$370,https://www.finexusa.com/products/cast-iron-skillet
Garlic press,$19.95,https://www.williams-sonoma.com/products/williams-sonoma-open-kitchen-garlic-press/
Lemon juicer,$32.95,https://www.surlatable.com/product/chef-n-freshforce-lemon-juicer-2-0/7063878
Green pasta bowl,$16.95,https://www.surlatable.com/product/sur-la-table-lucent-reactive-glaze-pasta-bowl/8547325
KitchenAid pasta maker attachment,$177,https://www.target.com/p/kitchenaid-stand-mixer-attachment-3-piece-pasta-roller-cutter-set/-/A-1007733424
Mortar and pestle,$32.99,https://a.co/d/09hTLqQD
Easy Pop popcorn maker,,https://www.crateandbarrel.com/cuisinart-easypop-hot-air-popcorn-maker/s496846
Apple AirTags,$69,https://a.co/d/cxzl4vn
Dewalt Charging Station,,https://www.homedepot.com/p/DEWALT-12V-20V-60V-MAX-4-Port-Lithium-Ion-Battery-Charger-DCB104/310149565
Dewalt Battery,,https://www.homedepot.com/p/DEWALT-FLEXVOLT-20V-60V-MAX-Lithium-Ion-6-0Ah-Battery-Pack-2-Pack-DCB606-2/207164349
Hestan bakeware sheets set of 7,$499,https://www.williams-sonoma.com/products/hestan-provisions-ovenbond-stainless-steel-ovenware-set-of-7/
Le Creuset casserole dishes,$139,https://www.williams-sonoma.com/products/le-creuset-heritage-open-rectangle-baking-dish/
Hestan baking sheets set,$249,https://www.williams-sonoma.com/products/hestan-provisions-3-piece-ovenbond-set/
Steam cleaner,$99.99,https://www.costco.com/.product.4000417530.html
Reusable silicone paint liner with metal tray,,https://www.homedepot.com/p/REPAINT-STUDIOS-11-5-in-x-16-in-Reusable-Silicone-Paint-Liner-with-Metal-Tray-1001RPT-G/332969116
